Log_PyClone_Clusters	ESTIMATE_ImmuneScore
5.209453366	3471.737745
4.807354922	3471.942241
4	3482.881592
3.906890596	3488.542165
3.906890596	3494.735389
3	3509.487724
4.169925001	3512.904868
3.906890596	3528.062093
4.754887502	3528.088194
3.169925001	3542.538493
4.523561956	3548.34822
4.169925001	3557.931553
3.906890596	3563.025997
2	3568.995028
3.459431619	3580.240787
4.857980995	3583.627887
4.087462841	3583.727557
2.321928095	3586.77929
5.95419631	3591.510268
4.906890596	3593.934135
1.584962501	3596.998259
1.584962501	3601.993213
4.584962501	3606.335503
4.584962501	3612.398789
3.700439718	3621.726104
6.409390936	3627.094391
4.700439718	3632.293846
4.523561956	3634.171765
2.321928095	3635.837928
4.321928095	3637.373518
4.169925001	3641.435744
4.906890596	3643.517921
2.321928095	3646.460101
6.845490051	3672.305701
4.087462841	3676.599608
4.523561956	3677.469586
4.321928095	3678.000393
4.807354922	3681.449357
5.857980995	3692.347661
1.584962501	3702.529185
3	3708.246679
4.857980995	3716.123504
3	3723.267111
1.584962501	3738.186278
2.584962501	3740.480067
2	3741.422242
2.584962501	3747.139631
3.459431619	3749.977232
4.169925001	3758.395785
1.584962501	3763.169057
3	3764.570195
4.700439718	3787.56426
2.321928095	3795.119123
4.247927513	3820.997151
4.754887502	3824.371566
4.459431619	3827.260815
3.807354922	3861.595211
4.087462841	3863.749967
4.087462841	3864.773116
5.857980995	3870.537943
3.321928095	3883.776664
3.169925001	3884.168231
4.087462841	3890.641954
3.700439718	3896.953727
4	3899.519742
4.321928095	3930.835119
2.584962501	3957.347661
5.554588852	3961.067713
4.523561956	3969.506961
4.95419631	3969.741573
3.321928095	3976.462622
3	3976.636711
3.700439718	3977.342012
4	3992.20518
1	3996.93478
4	4007.705397
4.64385619	4011.963647
3	4019.449485
3	4021.29892
4.087462841	4030.364102
2	4032.091281
3	4048.593756
4.459431619	4049.20687
3.459431619	4066.227597
4.321928095	4077.428564
4.087462841	4077.450658
3.700439718	4080.358577
2.807354922	4084.722823
5.321928095	4092.042973
4.459431619	4093.384275
1.584962501	4094.196259
5.426264755	4106.239795
2.807354922	4120.00757
2.807354922	4142.418291
3	4160.889248
6.894817763	4164.558438
2.807354922	4167.040781
