	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
TCGA-AR-A0TY 0.5176627 0 0 0.1295206 0 0 0.2072547 0 0.09512928 0 0 0 0
TCGA-AR-A0U0 0.1858828 0 0.1262509 0.08009193 0 0 0 0 0 0.4751325 0 0 0
TCGA-AR-A0U1 0 0 0 0.6900552 0 0 0 0 0 0.1770755 0 0.08477047 0
TCGA-AR-A0U2 0.4284199 0 0 0 0 0 0 0 0 0.5130569 0 0 0
TCGA-AR-A0U3 0.9500462 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AH 0.3746959 0 0 0 0.196116 0 0.08682174 0 0 0.3423663 0 0 0
TCGA-AR-A1AI 0.5009216 0 0.1384666 0.2403654 0 0 0 0 0 0 0 0 0.09300331
TCGA-AR-A1AJ 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AK 0.7101051 0.1744438 0.08906188 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AL 0.9444208 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AM 0.8819412 0 0 0 0.06934374 0 0 0 0 0 0 0 0
TCGA-AR-A1AN 0.9828252 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AP 0.6687324 0 0 0 0 0 0 0 0.06397578 0.2108088 0 0 0
TCGA-AR-A1AQ 0.3677848 0 0 0 0 0 0 0 0.591742 0 0 0 0
TCGA-AR-A1AR 0.3243158 0 0 0 0.2515709 0 0 0 0 0.3917112 0 0 0
TCGA-AR-A1AT 0.2486373 0 0 0.2117405 0 0 0 0 0.5396222 0 0 0 0
TCGA-AR-A1AU 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AW 0.6487601 0 0 0 0 0 0 0 0 0.2804284 0 0 0
TCGA-AR-A1AY 0.7176311 0.1022707 0 0.1244341 0 0 0 0 0 0 0 0 0
TCGA-AR-A24H 0.5252413 0 0.07363464 0.3596404 0 0 0 0 0 0 0 0 0
TCGA-AR-A24K 0.9774736 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A24L 0.1250218 0 0.07239642 0.6322003 0 0 0 0 0 0.09221342 0 0 0.07816806
TCGA-AR-A24M 0.8159339 0 0 0 0 0 0 0 0 0.1840661 0 0 0
TCGA-AR-A24N 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A24O 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A24P 0.6766997 0 0 0 0 0 0 0 0 0.3233003 0 0 0
TCGA-AR-A24Q 0.2900997 0.07949737 0 0.5176791 0 0 0 0 0 0 0 0 0
TCGA-AR-A24R 0.6042277 0 0 0 0 0 0 0 0.3957723 0 0 0 0
TCGA-AR-A24S 0.7061647 0.07373822 0 0 0 0 0 0 0 0 0 0.1702547 0
TCGA-AR-A24T 1 0 0 0 0 0 0 0 0 0 0 0 0
