	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
PD11743a 0.7118367 0 0 0 0 0 0 0 0 0.2790778 0 0 0
PD14433a 0.5385167 0.2021616 0.08377764 0 0 0 0 0 0.1472937 0 0 0 0
PD18049a 0.4817396 0.1032963 0.06625925 0.1859541 0 0 0 0 0.1500414 0 0 0 0
PD11745a 0.7193484 0 0 0.1247193 0 0 0.06017408 0 0 0.07159167 0 0 0
PD9572a 0.6112862 0 0.1564052 0 0 0.2001624 0 0 0 0 0 0 0
PD11364a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD11376a 0.8657443 0 0 0 0 0 0 0 0 0.1342557 0 0 0
PD11464a 0.6346539 0.1893758 0.1759703 0 0 0 0 0 0 0 0 0 0
PD18031a 0.6486826 0.07411114 0 0.2772063 0 0 0 0 0 0 0 0 0
PD9845a 0.6239913 0 0 0 0 0.3468084 0 0 0 0 0 0 0
PD11755a 0.5362621 0 0 0.3831457 0 0 0 0 0 0 0 0 0
PD14465a 0.6088956 0 0 0.2158463 0 0 0 0 0.1519653 0 0 0 0
PD9567a 0.816744 0 0 0.1511128 0 0 0 0 0 0 0 0 0
PD4315a 0.5095081 0.113963 0 0 0 0 0 0 0.1985945 0 0 0 0
PD4967a 0.5035482 0 0.3188296 0 0 0 0 0 0 0 0 0 0.1776222
PD13764a 0.510636 0 0 0 0 0.3269214 0 0 0 0 0 0 0
PD4965a 0.523629 0 0 0.08050919 0 0.1876696 0 0 0 0 0 0.1133754 0
PD13763a 0.9769776 0 0 0 0 0 0 0 0 0 0 0 0
PD4957a 0.1736468 0.08954333 0 0 0.07360041 0.3812729 0 0 0 0 0 0 0.1348879
PD4978a 0.9112079 0.08879212 0 0 0 0 0 0 0 0 0 0 0
PD11339a 0.7485034 0 0 0.1677362 0 0 0 0 0 0 0.08376042 0 0
PD11343a 0.9438822 0 0 0 0 0 0 0 0 0 0 0 0
PD11399a 0.9606376 0 0 0 0 0 0 0 0 0 0 0 0
PD13752a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD18748a 0.9437745 0 0 0 0 0 0 0 0 0 0 0 0
PD9467a 0.9266874 0.06039902 0 0 0 0 0 0 0 0 0 0 0
PD13619a 0.6221144 0 0 0.1329203 0 0 0 0 0 0.1745401 0 0.07042512 0
PD18149a 0.4765012 0 0 0.2093764 0 0 0 0 0 0.247534 0 0 0
PD4252a 0.7199452 0 0 0.2522352 0 0 0 0 0 0 0 0 0
PD11359a 0.9479479 0 0 0 0 0 0 0 0 0 0 0 0
PD4192a 0.4521686 0 0.2113217 0.2099134 0 0 0 0 0.1265963 0 0 0 0
PD5936a 0.9862401 0 0 0 0 0 0 0 0 0 0 0 0
PD9001a 0.8949178 0 0 0 0 0 0 0 0 0 0 0 0
PD8996a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD8997a 0.5793477 0 0 0 0 0 0 0 0 0.2215055 0 0.1315774 0
PD11360a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD9759a 0.8928373 0 0 0 0 0 0 0 0 0 0 0.1071627 0
PD13603a 0.851344 0 0.07976898 0 0 0 0 0 0 0 0 0 0
PD18734a 0.691511 0 0 0.1137979 0 0 0 0 0 0.1410982 0 0 0
PD18769a 0.5153838 0.07602226 0.3124634 0.08285511 0 0 0 0 0 0 0 0 0
PD5959a 0.7235703 0.1335178 0 0.1323847 0 0 0 0 0 0 0 0 0
PD10010a 0.9632517 0 0 0 0 0 0 0 0 0 0 0 0
PD13164a 0.7088246 0 0.07177088 0.1784173 0 0 0 0 0 0 0 0 0
PD13767a 0.6462214 0.1180989 0 0 0 0.1833109 0 0 0 0 0 0 0
PD8623a 0.7749778 0 0 0.2031954 0 0 0 0 0 0 0 0 0
